AirportId,CountryId,StateId,CityId,Code,Name,TimeZone,Latitude,Longitude
1,59,NULL,9249,AAL,Aalborg Airport,+01:00,57.0928,9.84917
3,59,NULL,9254,AAR,Aarhus Tirstrup Airport,+01:00,56.3,10.6189
4,231,44,9271,ABI,Abilene Municipal Airport,-06:00,32.4114,-99.6819
5,231,11,9287,ABY,Albany Dougherty County Airport,-05:00,31.5356,-84.1944
6,231,44,9305,ACT,Waco Municipal Airport,-06:00,31.6114,-97.2306
7,231,32,9419,ACY,Atlantic City International Airport,-05:00,39.4575,-74.5772
8,223,NULL,12473,ADB,Izmir Adnan Menderes Airport,+02:00,38.2925,27.1569
9,112,NULL,9493,ADJ,Amman Civil-Marka Airport,+03:00,31.9728,35.9917
10,14,54,9319,ADL,Adelaide Airport,+09:30,-34.945,138.531
12,231,1,9324,ADQ,Kodiak Airport,-09:00,57.75,-152.494
13,231,44,10938,ADS,Dallas/Fort Worth Addison Airport,-06:00,32.9694,-96.8389
15,11,60,10217,AEP,Buenos Aires Aeroparque J. Newbery Airport,-03:00,-34.5589,-58.4164
16,231,19,9346,AEX,Alexandria International Airport,-06:00,31.3275,-92.5497
18,231,44,10938,AFW,Dallas/Fort Worth Alliance Airport,-06:00,32.9833,-97.3167
19,81,NULL,14079,AGB,Munich Augsburg Airport,+01:00,48.4253,10.9317
20,231,39,14979,AGC,Pittsburgh Allegheny County Airport,-05:00,40.35,-79.9333
21,210,NULL,9365,AGH,Angelholm/Helsingborg Angelholm Airport,+01:00,56.2961,12.8472
22,231,11,9376,AGS,Augusta Bush Field Airport,-05:00,33.37,-81.9644
27,158,NULL,9443,AKL,Auckland International Airport,+12:00,-37.0097,174.792
28,231,35,9458,ALB,Albany International Airport,-05:00,42.7483,-73.8017
29,231,33,9469,ALM,Alamogordo Municipal Airport,-07:00,32.84,-105.991
30,64,NULL,9481,ALY,Alexandria El Nozha Airport,+02:00,31.1839,29.9489
31,231,44,9482,AMA,Amarillo International Airport,-06:00,35.2194,-101.706
33,112,NULL,9493,AMM,Amman Queen Alia International Airport,+03:00,31.7225,35.9933
35,231,1,9509,ANC,Anchorage International Airport,-09:00,61.1744,-149.996
37,223,NULL,9517,ANK,Ankara Etimesgut Airport,+02:00,39.9528,32.6861
38,22,NULL,10156,ANR,Antwerp-Brussels North Airport,+02:00,51.1894,4.46028
39,231,6,10930,APA,Denver Arapahoe County Airport,-07:00,39.5667,-104.833
40,189,NULL,9567,APW,Apia Faleolo Airport,+13:00,-13.8297,-171.997
42,210,NULL,16098,ARN,Stockholm Arlanda Airport,+01:00,59.6519,17.9186
43,14,59,9619,ASP,Alice Springs Airport,+09:30,-23.8067,133.902
44,84,NULL,9636,ATH,Athens Airport,+03:00,37.9364,23.9444
45,231,11,9640,ATL,Atlanta Hartsfield-Jackson Intl Airport,-05:00,33.6367,-84.4281
46,229,NULL,9662,AUH,Abu Dhabi International Airport,+04:00,24.4331,54.6511
47,231,44,9673,AUS,Austin-Bergstrom International Airport,-06:00,30.1944,-97.67
49,74,NULL,9688,AVN,Avignon Caumont Airport,+01:00,43.9067,4.90194
50,231,39,9690,AVP,Wilkes-Barre Scranton International Airport,-05:00,41.3386,-75.7233
51,14,56,13694,AVV,Melbourne Avalon Airport,+10:00,-38.0394,144.469
59,181,NULL,10220,BBU,Bucharest Baneasa - Aurel Vliacu Airport,+02:00,44.5033,26.1022
60,204,NULL,9809,BCN,Barcelona Airport,+01:00,41.2969,2.07833
61,25,NULL,9822,BDA,Bermuda L.F Wade International Airport,-04:00,32.3642,-64.6786
62,231,7,12007,BDL,Hartford Bradley International Airport,-05:00,41.9389,-72.6833
65,231,1,9864,BET,Bethel Municipal Airport,-09:00,60.7797,-161.838
67,231,48,15717,BFI,Seattle Boeing Field Airport,-08:00,47.53,-122.302
69,231,2,13928,BFM,Mobile Aerospace Airport,-06:00,30.6333,-88.0667
70,230,NULL,9885,BFS,Belfast International Airport,+00:00,54.6575,-6.21583
72,104,NULL,9912,BGW,Baghdad Airport,+03:00,33.2625,44.2344
73,108,NULL,13790,BGY,Milan Bergamo/Orio al Serio Airport,+01:00,45.6689,9.70028
74,230,NULL,9885,BHD,Belfast George Best City Airport,+00:00,54.6181,-5.8725
76,230,NULL,9936,BHX,Birmingham International Airport,+00:00,52.4536,-1.74778
78,17,NULL,9950,BIM,Bimini International Airport,-05:00,25.7,-79.2647
79,223,NULL,10294,BJV,Bodrum Milas Airport,+02:00,37.2506,27.6644
80,182,NULL,13949,BKA,Moscow Bykovo Airport,+04:00,55.6167,38.0667
81,231,36,10586,BKL,Cleveland Burke Lakefront Airport,-05:00,41.5175,-81.6833
82,210,NULL,16098,BMA,Stockholm Bromma Airport,+01:00,59.3544,17.9417
85,74,NULL,10086,BOD,Bordeaux Merignac Airport,+01:00,44.8286,-0.715278
87,231,20,10100,BOS,Boston Logan International Airport,-05:00,42.3644,-71.0053
88,231,44,10120,BPT,Beaumont Jefferson County Airport,-06:00,29.9508,-94.0208
90,231,11,16068,BQK,Brunswick Glynco Jetport Airport,-05:00,31.2589,-81.4664
91,211,NULL,10149,BRN,Berne Belp Airport,+01:00,46.9142,7.49722
92,58,NULL,10152,BRQ,Brno Airport,+02:00,49.1514,16.6944
93,22,NULL,10156,BRU,Brussels Airport,+01:00,50.9014,4.48444
94,231,1,10158,BRW,Barrow Wiley Post/Will Rogers Memorial Airport,-09:00,71.2856,-156.766
95,211,NULL,11153,BSL,Basel Airport,+01:00,47.5833,7.53333
96,231,19,10204,BTR,Baton Rouge Metropolitan Airport,-06:00,30.5331,-91.1497
97,198,NULL,10205,BTS,Bratislava M.R.Stefanik Airport,+02:00,48.1703,17.2128
98,74,NULL,14816,BVA,Paris Beauvais-Tille Airport,+01:00,49.4544,2.11278
99,231,21,10267,BWI,Baltimore Washington International Airport,-05:00,39.1753,-76.6683
102,23,NULL,10326,BZE,Belize City Goldson Intl Airport,-06:00,17.5392,-88.3083
104,231,41,10346,CAE,Columbia Metropolitan Airport,-05:00,33.9389,-81.1194
105,231,36,10352,CAK,Akron/Canton Ohio Regional Airport,-05:00,40.9161,-81.4422
106,149,NULL,10360,CAS,Casablanca Anfa Airport,+00:00,33.5569,-7.66056
111,74,NULL,14816,CDG,Paris Charles de Gaulle Airport,+01:00,49.0097,2.54778
112,231,1,10435,CDV,Cordova Mudhole Smith Airport,-09:00,60.4917,-145.477
117,31,97,15638,CGH,Sao Paulo Congonhas Airport,-03:00,-23.6267,-46.6581
118,102,NULL,12560,CGK,Jakarta Soekarno-Hatta Airport,+07:00,-6.12556,106.656
119,81,NULL,10491,CGN,Cologne/Bonn Airport,+01:00,50.8658,7.14278
121,231,43,10502,CHA,Chattanooga Lovell Field Airport,-05:00,35.0353,-85.2039
123,108,NULL,15519,CIA,Rome Ciampino Airport,+01:00,41.7994,12.5972
125,231,23,16072,CIU,Sault Ste Marie Chippewa County Airport,-05:00,46.2508,-84.4725
126,117,NULL,10562,CJU,Jeju International Airport,+09:00,33.5114,126.493
128,231,5,18015,CLD,Carlsbad Airport,-08:00,33.1283,-117.28
129,231,36,10586,CLE,Cleveland Hopkins International Airport,-05:00,41.4117,-81.8497
132,205,NULL,10606,CMB,Colombo Bandaranaike Airport,+05:30,7.18028,79.8853
