CityId,CountryId,StateId,Name,TimeZone,Latitude,Longitude
9239,76,NULL,Anaa,-10:00,-17.3525,-145.51
9240,14,53,Arrabury,+10:00,-26.75,141
9242,4,NULL,Annaba,+01:00,36.8222,7.80917
9249,59,NULL,Aalborg,+01:00,57.1,9.85
9251,229,NULL,Al Ain,+04:00,24.2617,55.6092
9253,182,NULL,Anapa,+04:00,45.0022,37.3472
9254,59,NULL,Aarhus,+01:00,56.15,10.2167
9256,45,NULL,Altay,+08:00,47.7569,88.0739
9260,31,86,Araxa,-03:00,-19.5633,-46.9603
9261,242,NULL,Al Ghaydah,+03:00,16.1917,52.175
9263,182,NULL,Abakan,+08:00,53.74,91.385
9265,204,NULL,Albacete,+01:00,38.9486,-1.86361
9266,103,NULL,Abadan,+03:30,30.3711,48.2283
9267,231,39,Allentown/Bethlehem/Easton,-05:00,40.6522,-75.4408
9271,231,44,Abilene,-06:00,32.4167,-99.6833
9272,54,NULL,Abidjan,+00:00,5.26139,-3.92639
9273,69,NULL,Kabri Dar,+03:00,6.73389,44.2553
9274,231,1,Ambler,-09:00,67.1064,-157.857
9275,14,53,Bamaga,+10:00,-10.9508,142.459
9279,231,33,Albuquerque,-07:00,35.0406,-106.609
9280,231,42,Aberdeen,-06:00,45.4492,-98.4219
9281,64,NULL,Abu Simbel,+02:00,22.3758,31.6117
9282,192,NULL,Al-Baha,+03:00,20.2961,41.6342
9284,161,NULL,Abuja,+01:00,9.00667,7.26306
9286,14,52,Albury (Wodonga),+10:00,-36.0678,146.958
9287,231,11,Albany,-05:00,31.5333,-84.2
9288,230,NULL,Aberdeen,+00:00,57.2042,-2.20028
9289,142,NULL,Acapulco,-06:00,16.7569,-99.7539
9291,82,NULL,Accra,+00:00,5.60528,-0.166667
9293,204,NULL,Lanzarote,+00:00,28.9456,-13.6053
9294,211,NULL,Altenrhein,+01:00,47.485,9.56083
9295,230,NULL,Alderney,+00:00,49.7061,-2.21472
9296,205,NULL,Anuradhapura,+05:30,8.3,80.4267
9297,231,20,Nantucket,-05:00,41.2531,-70.0603
9302,103,NULL,Sahand,+03:30,37.3481,46.1331
9303,48,NULL,Araracuara,-05:00,-0.6,-72.2833
9304,182,NULL,Achinsk,+08:00,56.2667,90.5667
9305,231,44,Waco,-06:00,31.6167,-97.2333
9306,170,NULL,Achutupo,-05:00,8.43333,-77.9667
9307,231,5,Arcata/Eureka,-08:00,40.9781,-124.109
9308,45,NULL,Xingyi,+08:00,25.0856,104.959
9309,103,NULL,Zabol,+03:30,31.0983,61.5439
9310,223,NULL,Adana,+02:00,36.9822,35.2803
9312,69,NULL,Addis Ababa,+03:00,8.97778,38.7994
9313,242,NULL,Aden,+03:00,12.8294,45.0289
9314,223,NULL,Adiyaman,+02:00,37.7314,38.4689
9318,231,1,Adak Island,-10:00,51.8833,-176.65
9319,14,54,Adelaide,+09:30,-34.9333,138.6
